"id","is_oreb","team","opponent","conference","opp_conference"
"1-1",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-2",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-3",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-4",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-5",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-6",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-8",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-9",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-10",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-11",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-12",1,"George Mason","Auburn","Atlantic 10","SEC"
"1-13",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-17",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-18",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-19",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-20",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-21",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-22",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-23",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-24",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-25",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-26",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-27",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-28",1,"George Mason","Auburn","Atlantic 10","SEC"
"1-30",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-31",1,"George Mason","Auburn","Atlantic 10","SEC"
"1-33",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-34",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-35",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-37",1,"Auburn","George Mason","SEC","Atlantic 10"
"1-39",0,"Auburn","George Mason","SEC","Atlantic 10"
"1-41",1,"George Mason","Auburn","Atlantic 10","SEC"
"1-42",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-43",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-45",0,"George Mason","Auburn","Atlantic 10","SEC"
"1-47",0,"Auburn","George Mason","SEC","Atlantic 10"
